the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.066644922915 29.95664975245),876495,CAFE'  SOULE',720 ST LOUIS ST,,NEW ORLEANS,LA,70130,504-669-6199,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BDO  LLC,3681948.51714,531942.699651
POINT (-89.944150215387 29.984568796425),877089,PARADISE RESTAURANT,2101 PARIS RD,,NEW ORLEANS,LA,70129-9621,504-277-8054,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FISHERMAN'S PARADISE HARMARINA INC,3720613.15263,542544.505997
POINT (-90.067814940988 29.953179415265),876601,DAISY DUKES,121 CHARTRES ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RICHFAMILY, LLC",3681591.96853,530676.663554
POINT (-90.08604609727 29.924354645708),877422,THE VINTAGE,3121 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"THE VINTAGE #1,LLC",3675932.96283,520131.621368
POINT (-90.065864962037 30.028568571079),876375,ARAMARK @ THE COVE,2000 LAKESHORE DR,,NEW ORLEANS,LA,70148,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ARAMARK EDUCATIONAL SERVICES, LLC.",3681906.20668,558097.894683
POINT (-90.108510782993 29.935109890114),876428,BLAZE PIZZA,5001 FRERET ST,STE: A,NEW ORLEANS,LA,70115,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"SADDLES BLAZIN,LLC",3668775.38983,523965.865212
POINT (-89.962900613193 30.01948699349),876638,DOMINO'S PIZZA #5223,10500 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-240-6700,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"MUELLER, GLENN A.",3714525.70264,555170.523161
POINT (-90.047942712438 29.962548354624),876467,BYWATER AMERICAN BISTRO,2900 CHARTRES ST,,NEW ORLEANS,LA,70117,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"522 RESTAURANT,LLC",3687846.50607,534153.595013
POINT (-90.133989053772 29.944136999656),876759,HANA CORPORATION,8116 HAMPSON ST,,NEW ORLEANS,LA,70118,504-738-3546,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"HANA CORPORATION        TOMIYAMA, TAISUKE",3660671.55181,527163.107839
POINT (-90.077057031254 29.983604495263),876681,FAIRGROUNDS RACE COURSE,1751 GENTILLY BLVD,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CHURCHILL DOWNS LA A HORCO, LLC",3678544.05627,541708.166924
POINT (-90.070745122632 29.953095919872),876640,DOMINO'S PIZZA #5225,135 CARONDELET ST,,NEW ORLEANS,LA,70130,504-525-3663,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),RPM PIZZA INC,3680664.42837,530636.065794
POINT (-90.065618184594 29.953462313862),876801,INDUSTRY BAR & KITCHEN,240 DECATUR ST,,NEW ORLEANS,LA,70130,504-895-1600,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),PARSA INC,3682286.45756,530787.225666
POINT (-90.076741222387 30.020815816198),877373,THE FUD BAR,1522 ROBERT E LEE BLVD,STE B,NEW ORLEANS,LA,70122,504-495-4653,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"FAMILY MEAL, LLC",3678495.63611,555240.771929
POINT (-90.057929490189 29.964286868696),876493,CAFE ROSE NICAUD,632 FRENCHMEN ST,,NEW ORLEANS,LA,70116,504-948-6823,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),PROJECT RENAISSANCE LLC,3684677.34658,534750.448326
POINT (-90.112028526275 29.964498282943),877298,SUBWAY # 26787,3502 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-482-6662,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"PANNU ENTERPRISES ELEVEN, LLC",3667547.34554,534640.709766
POINT (-90.079610302433 29.974907895449),876977,MING GARDEN,1151 N BROAD ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),MING GARDEN,3677770.3819,538536.896457
POINT (-90.06695376236 29.932253952939),876876,LE CITRON BISTRO,1539 RELIGIOUS ST,,NEW ORLEANS,LA,70130,504-566-9051,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LE CITRON BISTRO, LLC",3681948.7677,523070.422907
POINT (-90.106284444504 29.92941773168),877450,VALENCIA,1900 VALENCE ST,,NEW ORLEANS,LA,70115,504-436-4500,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),VALENCIA INC,3669502.68039,521903.530106
POINT (-90.06887421813 29.95439521577),876351,ACME OYSTER HOUSE,724 IBERVILLE ST,,NEW ORLEANS,LA,70130,504-522-5973,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RAWBAR, INC",3681251.65775,531115.070274
POINT (-90.076989294557 29.951922709288),877111,PIGEON & PRINCE,129-133 CAMP ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"BRG LA PROVENCE,LLC",3678691.8167,530187.70942
POINT (-90.073956104354 29.95011861527),877181,REGINELLI'S PIZZERIA,930 POYDRAS ST,STE:100,NEW ORLEANS,LA,70112,504-897-4855,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"POYDRAS STREET CAFE, LLC",3679659.53346,529542.218497
POINT (-90.022675508039 29.926207558706),876951,MCDONALDS,3250 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-258-3039,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LJC MANAGEMENT,LLC",3695998.02685,521029.452985
POINT (-90.050709488621 29.963563176742),876399,BAO & NOODLE,2700 CHARTRES ST,,NEW ORLEANS,LA,70117,504-272-0004,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),B&N RESTAURANT LLC,3686966.32866,534512.804933
POINT (-90.09368617784 29.942641887023),877292,SUBWAY,2700 S CLAIBORNE AVE,STE 200,NEW ORLEANS,LA,70125,504-324-6749,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),3GXL INC,3673440.99931,526755.269502
POINT (-90.104334296604 29.935070244595),877377,THE HIGH HAT RESTAURANT,4500 FRERET ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THE HIGH HAT RESTAURANT LLC,3670098.31937,523965.61222
POINT (-90.074174813568 29.944651493481),876726,G'S PIZZA CBD,833 HOWARD AVE,,NEW ORLEANS,LA,70113,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"G'S PIZZA CBD,LLC",3679612.12091,527553.411775
POINT (-90.093460963896 29.986550267986),877026,NEW ORLEANS MUSEUM OF ART,1 COLLINS DIBOLL CIR,STE:A,NEW ORLEANS,LA,70118,504-658-4101,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),NEW ORLEANS MUSEUM OF ART,3673339.55284,542722.803277
POINT (-90.081417352695 29.937952161928),877151,QUEEN TRINI LISA,2000 ORETHA CASTLE HALEY BLVD,,NEW ORLEANS,LA,70113,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"QUEEN TRINI LISA, LLC",3677345.10856,525092.158077
POINT (-90.10794374467 29.918402418427),876533,CHERRY ESPRESSO BAR,4877 LAUREL ST,,NEW ORLEANS,LA,70115,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),CHERRY COFFEE LLC,3669019.95425,517892.334326
POINT (-90.110870657379 29.935270752835),877275,STARBUCKS COFFEE #49513,5335 FRERET ST,,NEW ORLEANS,LA,70115,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),STARBUCKS CORPORATION,3668027.34708,524016.379004
POINT (-89.912000555058 30.036608904306),876478,CAFE CHOT NHO,14399 CHEF MENTEUR HWY,A,NEW ORLEANS,LA,70129,504-919-8056,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CAFE CHOT NHO, INC.",3730555.61651,561592.869791
POINT (-90.094218826269 29.943167600797),876457,BURGER KING #24416,2713 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"GPS HOSPITALITY PARTNERS IV, LLC",3673270.24462,526944.613822
POINT (-90.072017184997 29.96375450323),876529,CHEF D'S CAFE,1535 BASIN ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CHEF D'Z CAFE ON THE AVE LLC,3680218.95042,534507.485381
POINT (-90.064931418481 29.944523865605),877010,MULATE'S CAJUN RESTAURANT,201 JULIA ST,,NEW ORLEANS,LA,70130,504-522-1492,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MULATE'S OF NEW ORLEANS, INC.",3682539.90908,527539.287423
POINT (-90.065984103633 29.945702850001),877059,OPAL BASIL,719 S PETERS ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),OPAL BASIL WAREHOUSE LLC,3682201.79381,527964.320191
POINT (-90.065303896591 29.953160505288),877301,SUBWAY #3958,237 N PETERS ST,,NEW ORLEANS,LA,70130,708-970-0302,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),RANDAL 3958 CORPORATION,3682387.19452,530678.578178
POINT (-90.110115752669 29.934929006141),877064,ORIGAMI,5130 FRERET ST,,NEW ORLEANS,LA,70115,504-247-5458,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),VMM LLC,3668267.76615,523894.65894
POINT (-90.084734764806 29.967206350295),876889,LIBERTY'S KITCHEN,300 N BROAD ST,STE 101,NEW ORLEANS,LA,70119,504-822-4011,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LIBERTY'S KITCHEN, INC",3676178.53237,535718.605831
POINT (-90.106229128593 29.974341133987),876426,BISCUITS AND BUNS ON BANKS,4337 BANKS ST,,NEW ORLEANS,LA,70112,704-293-8585,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),GOOD EATS NOLA LLC,3669345.25742,538239.571081
POINT (-90.099218798442 29.975434311456),877342,TAQUERIA GUERRERO MEXICO,208 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,504-484-6959,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"TAQUERIA GUERRERO MEXICO, INC.",3671560.41127,538660.928969
POINT (-90.059115689952 29.960708857285),876906,LOWER D SPORTS SALOON,1200 DECATUR ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LOWER D GROUP LLC,3684316.2342,533445.172804
POINT (-90.058848299515 29.988513767501),877469,WAFFLE HOUSE 1999,2940 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-947-4407,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"WAFFLE HOUSE, INC",3684288.43906,543557.021134
POINT (-90.070033208846 29.951946172854),877360,THE BOP,201 ST CHARLES AVE,,NEW ORLEANS,LA,70170,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),C1 MANAGEMENT INC,3680894.4733,530220.460225
POINT (-90.076989294557 29.951922709288),877458,VIEUX CARRE WINGS,729 SAINT LOUIS ST,,NEW ORLEANS,LA,70130,504-522-2333,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),NILE RIVER LLC,3678691.8167,530187.70942
POINT (-90.061632499113 30.022897664262),877141,POPEYES LOUISIANA KITCHEN #3059,6232 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-283-9750,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),AFC ENTERPRISES INC,3683268.33692,556050.562777
POINT (-90.065153902598 29.946984937712),876721,FULTON ALLEY,600 FULTON ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FULTON ALLEY LLC,3682459.54613,528433.442496
POINT (-90.075208449679 29.954991265515),877287,SUBWAY,1227 TULANE AVE,,NEW ORLEANS,LA,70111-2,504-343-6950,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ALIE CORP,3679243.49672,531309.737538
POINT (-90.065759142771 29.947139664868),876674,ERNST CAFE,600 S PETERS ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ERNST CAFE INC,3682267.25583,528487.586048
POINT (-90.114746192955 30.020986695229),876797,II TONYS RESTAURANT,8536 PONTCHARTRAIN BLVD,,NEW ORLEANS,LA,70124,504-831-0999,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),II TONY'S INC,3666468.40455,555173.014937
POINT (-90.134107916557 29.94516762248),876864,LA MANSION RESTAURANT,724 DUBLIN ST,,NEW ORLEANS,LA,70118,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LA MANSION RESTAURANT LLC,3660629.98694,527537.487871
POINT (-89.955121661714 30.04088172004),876917,MAD CHEF @ 59TH,5941 BULLARD AVE,STE #7,NEW ORLEANS,LA,70129,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MAD CHEF,LLC",3716893.75308,562979.956192
POINT (-90.076989294557 29.951922709288),876816,JACKSON SQUARE CAFE PONTALBA,546 SAINT PETER ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),JACKSON SQUARE CAFE INC,3678691.8167,530187.70942
POINT (-90.074991157744 29.953550921348),876964,MERIBO PIZZA,234 LOYOLA AVE,STALL 5,NEW ORLEANS,LA,70112,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),MERIBO PIZZA,3679318.05544,530786.730434
POINT (-90.057628258242 29.96325459788),876687,FAVELA CHIC,525 FRENCHMEN ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FAVELA CHIC LLC,3684776.90357,534376.138501
POINT (-90.064365357226 29.957246391862),877330,SYLVAIN,625 CHARTRES ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SHINY NEW QUARTERS,LLC",3682667.93909,532167.646339
POINT (-90.099615854529 29.920821820242),877424,THEOS PIZZA,4218 MAGAZINE ST,,NEW ORLEANS,LA,70115,504-319-1607,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THEOS PIZZA LLC,3671648.52871,518800.423991
POINT (-90.130071895876 29.947742631021),877439,TRU BURGER,8115 OAK ST,,NEW ORLEANS,LA,70118,504-218-5416,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"PAU BURGER, LLC",3661898.31488,528487.259968
POINT (-89.963340880637 30.019316778143),877267,ST ROCH KITCHEN #3,10422 CHEF MENTEUR HWY,#2,NEW ORLEANS,LA,70127,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SABRINA & KATIE, LLC",3714387.12146,555106.960281
POINT (-90.059751857093 29.960279763783),877438,TRINITY RESTAURANT,1117 DECATUR ST,,NEW ORLEANS,LA,70116,504-232-5267,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),TRINITY FOODS LLC,3684116.53468,533286.899204
POINT (-90.064068682003 29.960296644994),876563,CLOVER GRILL,900 BOURBON ST,,NEW ORLEANS,LA,70116-3121,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"WOOD, THOMAS G",3682749.594,533277.8713
POINT (-90.081333060425 29.919875181782),876942,MCCLURES BARBECUE,3001 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,504-258-9367,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),MCCLURES BARBECUE LLC,3677443.62958,518519.009719
POINT (-90.062764533542 29.94853775976),876925,MANDARIN EXPRESS,1 POYDRAS ST,STE 234,NEW ORLEANS,LA,70130,800-804-1088,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),MANDARIN HOLDINGS LP,3683209.95157,529006.487168
POINT (-90.11082504307 29.95764256647),876738,GLORIA'S RESTAURANT,3101 BROADWAY ST,,NEW ORLEANS,LA,70125,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),KOREY FERNANDEZ,3667954.99853,532151.770755
POINT (-90.077526234688 29.936704318625),877126,PLEASE-U-RESTAURANT,1751 ST CHARLES AVE,,NEW ORLEANS,LA,70130,504-525-9131,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"TORAS, NIKOLAS",3678582.43707,524651.882172
POINT (-90.104550802761 29.929238142512),876711,FRENCH TRUCK COFFEE,4536 DRYADES ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"FRENCH TRUCK,LLC",3670052.4905,521844.109242
POINT (-90.109016373523 30.005088629875),876368,ANOTHER BROKEN EGG CAFE,607 HARRISON AVE,,NEW ORLEANS,LA,70124,504-301-4667,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"COJAK INVESTMENTS OF HARRISON, LLC",3668343.36148,549411.150611
POINT (-90.076989294557 29.951922709288),877462,VOODOO BBQ & GRILL,1501 ST. CHARLES AVE,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),VOODOO BBQ RESTAURANT GROUP INC,3678691.8167,530187.70942
POINT (-90.113301403058 29.962296130525),876976,MIKIMOTO JAPANESE RESTAURANT,3301 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-488-1881,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CHAN'S INC,3667152.84545,533835.628549
POINT (-90.065456002153 29.950210849132),877273,STARBUCKS  HARRAHS CASINO,8 CANAL ST,,NEW ORLEANS,LA,70130,504-598-2845,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CHRISTIAN AZINIAN,3682350.89698,529605.442625
POINT (-90.129023568191 29.941607235655),876828,JIMMY JOHNS,7621 MAPLE ST,,NEW ORLEANS,LA,70118,219-688-1728,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BLUE BOILER CATS II LLC,3662253.74848,526259.68243
POINT (-90.07166079606 29.953942824124),876632,DOMENICA,123 BARONNE ST,,NEW ORLEANS,LA,70112,504-648-6020,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"DOMENICA RESTAURANT, LLC",3680371.07893,530940.837378
POINT (-90.069782676981 29.955785111051),876848,KILLER POBOYS NO 1,219 DAUPHINE ST,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"KILLER PARTNERS, LLC",3680958.41416,531617.313987
POINT (-90.074144718209 29.947055752509),876886,LENI'S CAFE,741 BARONNE ST,,NEW ORLEANS,LA,70113,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),PATSELIKOS PANAGIOTIS,3679612.04424,528427.792896
POINT (-90.068396761335 29.956554025357),876479,CAFE CONTI,830 CONTI ST,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),DAUPHINE TOULOUSE INC,3681394.18178,531901.761859
POINT (-90.09485772581 29.941945062373),877100,PHILLY'S CAFE,2816 S CLAIBORNE AVE,C,NEW ORLEANS,LA,70125,504-896-2220,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),HJJ & JHC LLC,3673072.71425,526497.865982
POINT (-90.101839558957 29.973746938286),876991,MONKEY MONKEY COFFEE AND TEA,4641 S CARROLLTON AVE,,NEW ORLEANS,LA,70119,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"REDEMPSE,LLC",3670737.29569,538038.407625
POINT (-90.088190610082 29.961695505466),876682,FARMACY,2540 BANKS ST,,NEW ORLEANS,LA,70119,504-628-0557,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),STRANGE BREW NOLA LLC,3675106.12859,533702.746885
POINT (-90.076989294557 29.951922709288),877155,RAISING CANE'S #31,4021 BEHRMAN PL,B,NEW ORLEANS,LA,70114,225-383-7400,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"RAISING CANE'S RESTAURANT, LLC",3678691.8167,530187.70942
POINT (-90.068672141742 29.953549124641),877305,SUBWAY 31253,112 ROYAL ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),RANDAL 31253 CORPORATION,3681319.04252,530808.106562
POINT (-90.020639725897 29.925316567452),876538,CHINA HOUSE,3600 MACARTHUR BLVD,G,NEW ORLEANS,LA,70114,504-368-5520,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CHINA HOUSE FOOD COMPANY, LLC",3696646.56311,520712.840249
POINT (-90.076003436105 30.006998790821),876749,"GREAT WOK RESTAURANT OF NEW ORLEANS,LLC",1554 MIRABEAU AVE,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"GREAT WOK RESTAURANT OF NEW ORLEANS,LLC",3678784.23918,550218.906964
POINT (-90.108400163452 29.924482760708),877090,PARRAN'S PO-BOYS,4920 PRYTANIA ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"VINTER,INC",3668851.73678,520101.823096
POINT (-90.068207978493 29.95288034289),877074,PALACE CAFE,605 CANAL ST,,NEW ORLEANS,LA,70130-2307,504-891-4466,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),COUSINS RESTAURANTS INC,3681468.70933,530566.535618
POINT (-90.13430794118 29.942620538359),877002,MR CHILLS FIRST CLASS HOT DOGS,575 S CARROLLTON AVE,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MR CHILLS FIRST CLASS HOT DOGS & SWEETS PASTRIES,L",3660576.33344,526610.607358
POINT (-90.130387177818 29.942264602526),876537,CHILL OUT JUICE & FOOD BAR,729 BURDETTE ST,,NEW ORLEANS,LA,70118,504-606-7765,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BO CHEN,3661819.38419,526494.189822
POINT (-90.076989294557 29.951922709288),876445,BRENNAN'S,550 BIENVILLE ST,,NEW ORLEANS,LA,70130,504-539-5512,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),417 ROYAL RESTAURANT LLC,3678691.8167,530187.70942
POINT (-89.970874286465 30.01364169204),877331,SYLVESTER'S GRILL,9809 OLD GENTILLY RD,,NEW ORLEANS,LA,70127,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),SYLVESTER'S GRILL,3712027.72824,553014.867159
POINT (-90.035492846765 30.006078928497),877335,TACO BELL   #26773,4603 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70122,985-384-3333,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),B & G FOOD ENTERPRISES LLC,3691609.22204,550027.363732
POINT (-90.076989294557 29.951922709288),877397,THE PRALINE CONNECTION,2323 CANAL STREET,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"THE PRALINE CONNECTION, INC",3678691.8167,530187.70942
POINT (-90.054206857653 30.028183997923),876380,ASIAN PANDA,6600 FRANKLIN AVE,A-6,NEW ORLEANS,LA,70122,504-288-3378,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ASIAN PANDA LLC,3685596.64431,557999.040667
POINT (-90.037344506527 30.00297348625),877481,WE DATS NEW ORLEANS OWN CHICKEN & SHRIMP,4500 OLD GENTILLY RD,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"DAT CHICKEN,LLC",3691035.95836,548891.472787
POINT (-90.021900610937 29.939928124141),877191,RIO GRANDE TACOS,3211 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RIO GRANDE TACOS,LLC",3696186.36886,526021.526334
POINT (-90.062491190277 29.999517118141),876599,DADDY'S DONUTS,2051 CATON ST,STE A,NEW ORLEANS,LA,70122,504-283-3388,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"CARLTON, III GEORGE B.",3683090.90908,547545.456402
POINT (-90.088279453119 29.966709968612),876941,MC DONALD'S RESTAURANT,2757 CANAL ST,,NEW ORLEANS,LA,70119-5501,985-651-8246,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"CLB INVESTMENTS,LLC",3675058.1844,535525.890502
POINT (-90.065456002153 29.950210849132),876352,ACME OYSTER HOUSE,8 CANAL ST,,NEW ORLEANS,LA,70130,504-679-7012,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SB ACME LLC,3682350.89698,529605.442625
POINT (-90.078498712497 29.956458611657),877105,PHO TAU BAY RESTAURANT,1565 TULANE AVE,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"VUTAK,LLC",3678195.77326,531831.894019
POINT (-90.032376124938 30.004970349265),877344,"TASTY TREAT, LLC",5000 OLD GENTILLY RD,A,NEW ORLEANS,LA,70126,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"TASTY TREAT, LLC",3692600.21705,549635.427987
POINT (-90.066690307221 29.954558315454),876484,CAFE FLEUR DE LIS,307 CHARTRES ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),307 CHARTRES LLC,3681942.55343,531182.017538
POINT (-90.064120438529 29.957413950905),877334,TABLEAU,616 ST PETER ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LE PETIT RESTAURANT LLC,3682744.81724,532229.435907
POINT (-90.061685102686 29.958476313762),876929,MANOLITO,508 DUMAINE ST,UNIT:A,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),PALABRA LLC,3683511.67279,532624.29978
POINT (-90.085582906123 29.959287820023),877409,THE SPOT,2220 TULANE AVE,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"EMPIRE ASSOCIATES,LLC",3675941.35214,532836.20378
POINT (-90.076542660748 29.929630409572),877071,P.J.'S COFFEE,2140 MAGAZINE ST,,NEW ORLEANS,LA,70130,(504)234-0282,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),WHERE'S THE WATERMELON LLC,3678922.16245,522082.969594
POINT (-90.076989294557 29.951922709288),877428,TIGER'S CREOLE CUISINE,1612 BASIN ST,,NEW ORLEANS,LA,70116,504-529-3750,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),RENE T WATSON ENTERPRISES LLC,3678691.8167,530187.70942
POINT (-90.004078749449 29.932067170549),877381,THE KITCHEN,4801 GENERAL MEYER AVE,E,NEW ORLEANS,LA,70131,504-912-4988,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BRUCE P ROLLINS JR,3701863.73898,523228.057915
POINT (-90.05741349635 29.961888753706),876649,DRAGON'S DEN,435 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-289-5648,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"435 ESPLANADE, LLC",3684850.43394,533880.224389
POINT (-90.014966212027 29.920113218297),877279,STARBUCKS COFFEE#50827,3400 HOLIDAY DR,,NEW ORLEANS,LA,70114,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),STARBUCKS COFFEE#50827,3698465.40708,518841.361463
POINT (-90.076989294557 29.951922709288),877272,STANLEY,547 SAINT ANN ST,,NEW ORLEANS,LA,70116,504-495-4240,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"STANLEY OF NEW ORLEANS, LLC",3678691.8167,530187.70942
POINT (-90.109971718904 29.992068882518),876867,LAKEVIEW BREW COFFEE CAFE,5606 CANAL BLVD,,NEW ORLEANS,LA,70124,504-483-7001,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LAKEVIEW BREW, LLC",3668091.54477,544673.413647
